cluster_id,analysis_order,model_short,model_id,reference_id,treatment,seed,strict_parseable,strict_correct,semantic_determinate,semantic_correct,cap_proxy,output_tokens
2ea13c8a93e23f86123417a5d8eb50e8,165,gemma,google/gemma-4-12B-it,BASE,T0_OFF,2701,1,0,1,0,0,338
2ea13c8a93e23f86123417a5d8eb50e8,165,gemma,google/gemma-4-12B-it,BASE,T1_SILENT_CHECK,2701,1,0,1,0,0,514
2ea13c8a93e23f86123417a5d8eb50e8,165,gemma,google/gemma-4-12B-it,MASK_SENTINEL,T0_OFF,2701,1,0,1,0,0,432
2ea13c8a93e23f86123417a5d8eb50e8,165,gemma,google/gemma-4-12B-it,MASK_SENTINEL,T1_SILENT_CHECK,2701,1,0,1,0,0,389
2ea13c8a93e23f86123417a5d8eb50e8,165,gemma,google/gemma-4-12B-it,METADATA_TOKEN_MATCHED_TO_MASK,T0_OFF,2701,0,0,0,0,0,415
2ea13c8a93e23f86123417a5d8eb50e8,165,gemma,google/gemma-4-12B-it,METADATA_TOKEN_MATCHED_TO_MASK,T1_SILENT_CHECK,2701,1,0,1,0,0,725
2ea13c8a93e23f86123417a5d8eb50e8,165,gemma,google/gemma-4-12B-it,BASE,T0_OFF,2702,1,0,1,0,0,338
2ea13c8a93e23f86123417a5d8eb50e8,165,gemma,google/gemma-4-12B-it,BASE,T1_SILENT_CHECK,2702,1,0,1,0,0,514
2ea13c8a93e23f86123417a5d8eb50e8,165,gemma,google/gemma-4-12B-it,MASK_SENTINEL,T0_OFF,2702,1,0,1,0,0,432
2ea13c8a93e23f86123417a5d8eb50e8,165,gemma,google/gemma-4-12B-it,MASK_SENTINEL,T1_SILENT_CHECK,2702,1,0,1,0,0,389
2ea13c8a93e23f86123417a5d8eb50e8,165,gemma,google/gemma-4-12B-it,METADATA_TOKEN_MATCHED_TO_MASK,T0_OFF,2702,0,0,0,0,0,415
2ea13c8a93e23f86123417a5d8eb50e8,165,gemma,google/gemma-4-12B-it,METADATA_TOKEN_MATCHED_TO_MASK,T1_SILENT_CHECK,2702,1,0,1,0,0,725
2ea13c8a93e23f86123417a5d8eb50e8,165,gemma,google/gemma-4-12B-it,BASE,T0_OFF,2703,1,0,1,0,0,338
2ea13c8a93e23f86123417a5d8eb50e8,165,gemma,google/gemma-4-12B-it,BASE,T1_SILENT_CHECK,2703,1,0,1,0,0,514
2ea13c8a93e23f86123417a5d8eb50e8,165,gemma,google/gemma-4-12B-it,MASK_SENTINEL,T0_OFF,2703,1,0,1,0,0,432
2ea13c8a93e23f86123417a5d8eb50e8,165,gemma,google/gemma-4-12B-it,MASK_SENTINEL,T1_SILENT_CHECK,2703,1,0,1,0,0,389
2ea13c8a93e23f86123417a5d8eb50e8,165,gemma,google/gemma-4-12B-it,METADATA_TOKEN_MATCHED_TO_MASK,T0_OFF,2703,0,0,0,0,0,415
